0.0001	1.0
0.197892	6.26845
0.416363	17.41731
0.613853	12.03961
0.828307	10.7605
1.04718	13.083
1.28851	4.0969
1.4868	6.9181
1.70152	4.0952
1.91932	2.5582
2.15945	3.3301
2.37886	2.0493
2.55778	2.0475
2.81647	3.074
3.01583	2.5428
3.23618	3.074
3.43608	3.3318
3.69665	3.8612
3.89655	3.3301
4.13613	3.5863
4.31746	3.0774
4.55852	3.3283
4.75923	3.0722
4.99774	1.2791
5.21702	2.3055
5.41692	2
5.63593	1.7931
5.85507	2.3055
6.07515	2.0475
6.27464	1.7949
6.49526	1.7949
6.71507	2.0476
6.95559	2.5616
7.39629	3.0756
7.8168	4.0951
8.25763	4.6109
8.2637	4.6109
